rebal_date,solver,converged,iterations,wall_clock_time_ms,initial_residual_norm,final_residual_norm,relative_residual,a_norm_error,two_norm_error,relative_solution_error,condition_number,min_eigenvalue,max_eigenvalue,max_conjugacy_loss,mean_conjugacy_loss
20230103,GD,False,907,4.894332989351824,0.0037898351238289337,4.3159580581507043e-07,0.00016684151992439383,4.883149333793482e-05,0.007539785518611372,0.0004615122857859432,277.0938955457468,4.117939732756927e-05,0.011410559621722285,,
20230202,GD,False,698,3.642666997620836,0.0029673063259982807,5.145449021965268e-07,0.00019820513353369456,6.294996456306374e-05,0.009389868647954963,0.0006988236414530751,281.22856820634104,4.078053652327629e-05,0.01146865189712739,,
20230306,GD,False,666,3.196583013050258,0.0033310812218007037,5.329746233535481e-07,0.00018707781863601576,6.487977832666084e-05,0.009496620326551842,0.0006486684463496184,255.26422801549478,4.3759866007751417e-05,0.011170328414530157,,
20230404,GD,False,704,3.4042500192299485,0.0033670371898092337,5.063683516208621e-07,0.00018537265621680664,6.160617019482543e-05,0.009312275966010973,0.0006205069471944597,244.44386455614892,4.334560928039186e-05,0.01059556824403986,,
20230504,GD,False,744,3.575040987925604,0.00344998702897073,4.879925030369266e-07,0.000179980675671584,5.732758815677279e-05,0.008570993461651933,0.0005364371205953517,235.50514512248282,4.460073720689473e-05,0.010503703088479463,,
20230605,GD,False,316,1.420042011886835,0.0030931540872875733,7.913982039091324e-07,0.0002517190261388148,0.00010592261150821931,0.015289269361899999,0.0009418404209860199,225.75834993157278,4.724199068007024e-05,0.010665273863415398,,
20230706,GD,False,300,1.4283340133260936,0.0030224674640658687,7.906805609139047e-07,0.0002545387563521767,0.00010324357934325753,0.01452277073758457,0.0009291619834436649,225.53625773609681,4.747103823266089e-05,0.010706440313841513,,
20230804,GD,False,372,1.633584004594013,0.0030832296030185178,7.28064283536692e-07,0.00023737606164950996,9.321633209242369e-05,0.01303796146769765,0.0007951961891149754,223.11644616683182,4.823095882348874e-05,0.010761120127915608,,
20230905,GD,False,482,2.0662920142058283,0.003149055684510182,6.443879258792261e-07,0.00021704780172499244,8.188966465491281e-05,0.01173197396535897,0.0007406042839175155,226.3528250883106,4.8049566617164857e-05,0.010876155148064245,,
20231004,GD,False,630,2.6957909867633134,0.0032025516493510158,5.371494374804273e-07,0.00019703549987274,6.352925653745566e-05,0.00907341816712102,0.0006041313698810278,228.70841952917,4.742118914555048e-05,0.010845625221672681,,
20231102,GD,False,741,3.272708010626957,0.0035215467073114364,4.4830347340940687e-07,0.0001923255885914991,4.7212198333239786e-05,0.006612849120619994,0.00044308679382861014,233.71174847535744,4.6709579817969424e-05,0.010916577569806902,,
20231204,GD,False,737,3.1422500032931566,0.0034063093193451187,4.6789993950777353e-07,0.0002151015025854135,5.111160000192257e-05,0.007232900166883379,0.0004888901864029947,244.1684020671227,4.431655414095431e-05,0.010820702209717944,,
20240104,GD,False,719,3.200459002982825,0.003341408069889849,4.71652004535031e-07,0.00021879237164680864,5.061651189313753e-05,0.00709650086606429,0.0005070762437093733,244.03483836287944,4.380289238467149e-05,0.010689431762919909,,
20240205,GD,False,130,0.5621250020340085,0.002637490589205981,1.2999073413423414e-06,0.00041509021294929,0.00018551789914947428,0.027247525650442042,0.0017223191774283025,236.79054811338423,4.308750883354856e-05,0.010202714833536249,,
20240306,GD,False,180,0.7706250180490315,0.0029710665314175992,1.054885707747706e-06,0.0002558304836426481,0.00014576197840006027,0.021076316816934202,0.001359186813822877,221.85873490903967,4.4160043739073396e-05,0.009797291437478681,,
20240405,GD,False,182,0.7962080126162618,0.0027743779533177648,1.0811415563030894e-06,0.000279972574907578,0.00015706425624423723,0.023752786508458364,0.001551169581838725,217.88534004040486,4.298446155131481e-05,0.009365684021561935,,
20240506,GD,False,516,2.1696249896194786,0.0035103713412963783,6.158437452837504e-07,0.00012632023551693004,7.909890920178667e-05,0.011917240799563127,0.0008490995481707255,211.76973285378736,4.2855320590965195e-05,0.009075459792912112,,
20240605,GD,False,530,2.340709004784003,0.00418331046734653,6.046932287516396e-07,0.00011091663719343906,7.448124116846484e-05,0.011068665553330257,0.0007754854737163304,192.6674764352297,4.35368144521316e-05,0.008388128172521034,,
20240708,GD,False,523,2.2436669969465584,0.006267338344373106,5.892442733578299e-07,7.587538808430048e-05,7.161207658498208e-05,0.01074273220063055,0.0008495944486905102,182.1670166525521,4.2936072418151374e-05,0.007821536219192564,,
20240806,GD,False,288,1.2431250070221722,0.003921694916693736,8.625589344860973e-07,0.00017534546069861387,0.0001198111394820217,0.017978876630566736,0.0014037706775108197,197.4005510175328,4.3288973190939324e-05,0.008545267160874627,,
20240905,GD,False,574,2.463959011947736,0.004659560981333975,5.806137145248149e-07,9.723674049116589e-05,7.20292560265595e-05,0.010875348043693672,0.0007607705021336253,203.52718513037323,4.252643859884502e-05,0.00865528634164258,,
20241004,GD,False,689,2.91483398177661,0.006010741667234015,4.836748846703448e-07,6.41792809735311e-05,5.3069369265907866e-05,0.008048843650692649,0.0005553117772948873,202.94894875795268,4.256204556852012e-05,0.008637922405119236,,
20241104,GD,False,676,2.9486669809557498,0.005752417581738698,5.165078025264008e-07,7.247238979497965e-05,6.049788737997185e-05,0.009532112990832774,0.0005732324452376955,209.839273944385,3.931085055821816e-05,0.00824896033927272,,
20241204,GD,False,402,1.709167001536116,0.004987294539175425,6.746117732188063e-07,0.00011224978319867931,8.787996200234245e-05,0.013497700396552905,0.0008698000679999751,191.17210733855572,3.932288908620125e-05,0.007517439573249386,,
